V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,Class
0.3091457,0.40248498,0.12987368,0.16107135,0.5140382,0.52960086,0.17288865,0.3353998,0.17649397,0.43105683,0.109483406,0.14787975,0.43463904,0.53667355,0.11051465,0.15971702,0.18683107,0.4471691,0.11127012,0.16365843,0.33085057,0.5319531,0.10222201,0.17740385,0.14839916,0.3612806,0.08160417,0.1441149,0.26147538,0.5595646,0.074209414,0.13086204,0.12665035,0.46490154,0.059913255,0.16028133,0.17899919,0.48783928,0.05950767,0.17821762,0.12380855,0.6022459,0.04857807,0.124270596,0.30536577,0.75260496,0.047381155,0.121728614,1
0.23709854,0.30797198,0.17621015,0.1697505,0.55815977,0.47827998,0.1457341,0.16896021,0.157815,0.31670776,0.16515337,0.1414112,0.576416,0.4666796,0.18308513,0.1491386,0.21240251,0.34496468,0.20493741,0.17582904,0.48231047,0.47258434,0.21247065,0.18135315,0.18174823,0.2584496,0.19279048,0.1719893,0.37480536,0.4664398,0.22064117,0.19408822,0.16844194,0.34855324,0.13938066,0.19930226,0.23828092,0.42615524,0.14306062,0.21642269,0.1305144,0.45197105,0.09417598,0.14623386,0.3449642,0.6039293,0.09219253,0.14360629,1
0.370077,0.42298618,0.20247172,0.28229675,0.46149704,0.48961532,0.19463839,0.2580334,0.24587446,0.4438298,0.1617438,0.21245766,0.351147,0.40867063,0.18417642,0.23367463,0.26803607,0.4899102,0.13446353,0.19580603,0.25249684,0.4126221,0.15322444,0.21571827,0.22610408,0.40746662,0.12713923,0.27997106,0.1922387,0.45239642,0.13671188,0.2584918,0.15811816,0.44123942,0.07521669,0.1802854,0.14528379,0.43118015,0.07593788,0.195497,0.1297662,0.5359284,0.05695636,0.11684054,0.25922623,0.6727614,0.055539563,0.114559,1
0.19867472,0.23919246,0.28715834,0.22724907,0.5405861,0.43543884,0.20562238,0.19717689,0.17179352,0.28895667,0.25711662,0.19046365,0.521559,0.35143617,0.22365558,0.17853306,0.21844807,0.30177674,0.25895897,0.2022801,0.45862243,0.3924272,0.22766611,0.20148832,0.2200378,0.2516215,0.25885084,0.23694173,0.3622304,0.42557454,0.24459794,0.24749961,0.18364853,0.31496823,0.1622201,0.22857255,0.21511388,0.3714866,0.16020249,0.2450528,0.13589807,0.38741255,0.09425139,0.12592927,0.32744303,0.56160164,0.09187427,0.12225103,1
0.2282263,0.258888,0.30611968,0.25272882,0.43625873,0.3240733,0.3100697,0.32734683,0.18374553,0.26185334,0.32597855,0.24870151,0.5307399,0.28945255,0.31499508,0.2307658,0.25506648,0.27937004,0.39587745,0.29729778,0.5440168,0.39891532,0.36504248,0.27727127,0.2952616,0.27931118,0.33855608,0.2735011,0.4394824,0.4188739,0.38150078,0.34512705,0.28916675,0.3513694,0.24298432,0.26341516,0.27428204,0.33255076,0.2514804,0.3236654,0.1924852,0.39856312,0.14457123,0.16488294,0.36365405,0.44908065,0.14053822,0.1630078,1
0.26399502,0.28949067,0.34676751,0.28641084,0.64866114,0.49046338,0.25812718,0.2366675,0.21756944,0.3155593,0.3656946,0.27763265,0.7544085,0.48320705,0.2765286,0.21655717,0.2695924,0.32789803,0.41674638,0.32127386,0.61679274,0.5229505,0.30451608,0.22306976,0.2423726,0.24619906,0.33156905,0.26257047,0.4451899,0.46345457,0.30506787,0.24418344,0.22112483,0.32559326,0.19938119,0.20932722,0.23994817,0.3735728,0.19574213,0.25304756,0.14784656,0.41225794,0.11176267,0.13555516,0.35389426,0.5456147,0.11387233,0.14907058,1
0.18045166,0.22334018,0.2264366,0.2820811,0.42890197,0.42265648,0.26258197,0.3620059,0.15696745,0.27650684,0.21828164,0.21775787,0.4105387,0.3067773,0.25678143,0.2685705,0.21685459,0.32374448,0.23507734,0.23380366,0.34880748,0.31834915,0.29201442,0.30557093,0.21335246,0.28107762,0.22004947,0.2478851,0.28158158,0.33116287,0.28273362,0.3448757,0.18869548,0.36354372,0.14451931,0.214385,0.16273484,0.2524632,0.15773745,0.27242178,0.13557582,0.43162826,0.089100264,0.13394228,0.22823495,0.34209338,0.0901336,0.14499603,1
0.27080563,0.35496345,0.29544824,0.2867737,0.60116786,0.5174438,0.21520102,0.19618191,0.20794967,0.3518,0.27114674,0.22441413,0.49369356,0.35217917,0.26870748,0.19679308,0.25149503,0.37318584,0.32056135,0.271255,0.5115083,0.43270063,0.33161706,0.23481373,0.25011495,0.30489656,0.28323781,0.26565513,0.39086625,0.43191734,0.33128002,0.26042625,0.2761743,0.42019206,0.22427104,0.26394576,0.23261726,0.32969248,0.2551583,0.31256646,0.2006099,0.5265236,0.13881157,0.1813192,0.33297324,0.4665519,0.13775398,0.18306854,1
0.26316607,0.2812661,0.33775526,0.23055549,0.57341015,0.4872224,0.30024385,0.28907377,0.21672355,0.28592312,0.31814766,0.20302522,0.63216966,0.37800363,0.35129267,0.31890318,0.30386692,0.33437964,0.37975693,0.26382017,0.63704884,0.45590085,0.36760283,0.3012777,0.3356882,0.3585126,0.3824109,0.35574412,0.46166554,0.4296849,0.33863342,0.2534816,0.31616905,0.46269378,0.26026595,0.338289,0.3143784,0.40383372,0.2369959,0.2995442,0.17726931,0.4200327,0.13123788,0.15176319,0.38194218,0.4827315,0.12887737,0.15365082,1
0.20293614,0.2632826,0.27332017,0.29129174,0.54954046,0.5312698,0.19948281,0.23216575,0.19502893,0.33995464,0.27982378,0.23896822,0.49856624,0.3927758,0.2505343,0.21668015,0.24713115,0.36784858,0.3173986,0.25301588,0.45417464,0.39675564,0.29802176,0.2544099,0.23792052,0.30702752,0.2906419,0.24561004,0.40899074,0.439335,0.28861108,0.2272374,0.21739128,0.38251486,0.19335563,0.21760349,0.23979682,0.32921904,0.19964416,0.26299778,0.14663409,0.45390317,0.11425576,0.144509,0.3324831,0.457424,0.115645535,0.15526505,1
0.27132806,0.40678716,0.17797261,0.21029903,0.46008798,0.44033802,0.15364854,0.20481732,0.16970316,0.3988094,0.16944602,0.21161813,0.34420794,0.3263567,0.13286096,0.14886804,0.19028881,0.40753078,0.17579895,0.20899597,0.2820046,0.32717687,0.12675324,0.12547615,0.15914701,0.31225786,0.14843017,0.18692154,0.2390936,0.35057473,0.13537455,0.14177646,0.13161431,0.39885977,0.084899396,0.15733507,0.12990703,0.2976226,0.079679124,0.15768187,0.11772368,0.5153255,0.049678154,0.09376937,0.19718935,0.4340899,0.04863654,0.09258714,1
