P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,Class,TSNE.x,TSNE.y,TSNE.jaccard,MDS.x,MDS.y,MDS.jaccard,Isomap.x,Isomap.y,Isomap.jaccard,Spectral.x,Spectral.y,Spectral.jaccard
0.098706,0.0,0.0,0.000509,0.059285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000204,0.198941,0.013955,0.0,0.0,0.124784,1.0,0.002343,0.0,0.0,0.0,0.000306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00275,0.07324,0.006417,0.0,0.0,0.012122,0.214831,0.000204,0.0,0.0,0.0,0.000102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058368,0.004584,0.0,0.0,0.003158,0.07578700000000001,0,1,0.8483,0.2800,0.15789473684210525,-0.1051,0.0267,0.1,0.0742,0.1116,0.375,0.5617,-0.8946,0.2222222222222222
0.5321279999999999,0.0,0.000197,0.000197,0.339163,0.116526,0.0,0.0,0.0,0.001179,0.0,0.002751,0.0,0.0,0.003734,0.035763,0.022205000000000003,0.0,0.0,0.007664,1.0,0.226764,0.0,0.0,0.000197,0.17763800000000002,0.06288099999999999,0.0,0.0,0.0,0.000197,0.000197,0.0,0.0,0.0,0.000983,0.027707,0.006092,0.0,0.0,0.006681,0.32698,0.095697,0.024956,0.0,0.0,0.084496,0.030065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000393,0.015327,0.0017690000000000004,0.056789,0.0,0.001965,0.11122,0,1,0.6075,0.3201,0.8333333333333334,0.0041,0.2722,0.8333333333333334,0.1603,0.3801,0.8333333333333334,0.4393,-0.3948,0.2222222222222222
0.093357,0.0,0.0,0.0,0.010772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007181,0.037702,0.0,0.0,0.0,1.0,0.016158000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001795,0.0,0.0,0.0,0.13465,0.003591,0.0,0.0,0.0,0.0,0.003591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019749,0,1,0.7891,0.4542,0.6923076923076923,-0.0977,0.0656,0.6923076923076923,0.1266,0.1979,0.4666666666666667,0.5624,-0.8894,0.15789473684210525
0.22275,0.0,0.0,0.0,0.069383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013809,0.020147,0.0,0.0,0.0026030000000000003,1.0,0.072439,0.0,0.0,0.0,0.010979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07334500000000001,0.01064,0.0,0.0,0.024901,0.34352,0.015846000000000002,0.0,0.0,0.0,0.001245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090436,0.004188,0.0,0.0,0.020374,0.048217,0,1,0.7428,0.3229,0.6923076923076923,-0.0551,0.1053,0.5714285714285714,0.1404,0.2332,0.5714285714285714,0.5691,-0.8636,0.4666666666666667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.160578,0,1,0.9351,0.4254,0.4666666666666667,-0.0165,0.0318,0.5714285714285714,0.1574,0.1361,0.375,0.5077,-0.7134,0.15789473684210525
0.0,0.0,0.0,0.011236,0.011236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134831,0.0,0.0,0.0,0.044944,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011236,0.05618,0.0,0.0,0.0,0.022472,0.089888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011236,0.0,0.0,0.0,0.0,0.0,0,1,0.8392,0.5234,0.8333333333333334,-0.1362,0.0281,0.6923076923076923,0.1010,0.1380,0.047619047619047616,0.5339,-0.8236,0.29411764705882354
0.121242,0.0,0.0,0.0,0.010669,0.0029100000000000003,0.0,0.0,0.0,0.000647,0.0,0.000647,0.0,0.0,0.0,0.0016170000000000002,0.032331,0.0,0.0,0.000323,1.0,0.036534,0.0,0.0,0.000323,0.009376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000647,0.009053,0.0,0.0,0.0,0.227611,0.010346,0.000323,0.0,0.0,0.001293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016170000000000002,0.002586,0.0,0.0,0.037827,0,1,0.7956,0.3958,0.6923076923076923,-0.0743,0.0714,1.0,0.1229,0.2060,0.5714285714285714,0.5618,-0.8779,0.4666666666666667
0.000173,0.0,0.0,0.019879,0.000519,0.0,0.0,0.0,0.000173,0.0,0.0,0.0,0.0,0.0,0.0,0.066379,0.000346,0.0,0.0,0.231288,1.0,0.0,0.0,0.0,0.007606,0.0,0.0,0.0,0.0,0.0,0.0,0.000173,0.0,0.0,0.0,0.005877,0.058081,0.0,0.0,0.0,0.196716,0.284875,0.0,0.0,0.0,0.013829,0.0,0.0,0.0,0.0,0.000173,0.000173,0.000519,0.0,0.0,0.0,0.001037,0.006222999999999999,0.0,0.0,0.0,0.059118,0.042524,0,1,0.9331,0.3041,0.6923076923076923,-0.1143,-0.0414,0.4666666666666667,0.1193,0.1212,0.8333333333333334,0.5021,-0.7322,0.2222222222222222
0.537375,0.000831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012458,0.0,0.0,0.0,0.074751,1.0,0.001661,0.0,0.0,0.69186,0.284884,0.005814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007475,0.230897,0.020764,0.000831,0.000831,0.108804,0.197674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009136,0.0,0.0,0.08887,0.039867,0.0,0.0,0.053987,0,1,0.6827,0.1983,0.29411764705882354,-0.3132,0.5399,0.1,0.0778,0.2137,0.1,0.3557,-0.2263,0.29411764705882354
0.001247,0.0,0.002495,0.00343,0.001247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018709,0.159339,0.001247,0.0,0.0,0.277206,1.0,0.000312,0.0,0.0,0.000312,0.000624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115373,0.000312,0.0,0.0,0.129404,0.227315,0.000312,0.0,0.0,0.000312,0.0,0.000312,0.0,0.0,0.000312,0.0,0.0,0.0,0.0,0.0,0.000312,0.062052,0.0,0.000312,0.0,0.047085,0.076084,0,1,0.9314,0.2369,0.5714285714285714,-0.1274,-0.0419,0.4666666666666667,0.1227,0.1201,0.5714285714285714,0.4771,-0.6683,0.375
