x.1,x.2,x.3,class
-1.253096748,-0.4955,-0.5705,1
-1.054192419,-0.7364,-0.5044,1
-1.606932913,-1.1056,-0.449,1
-1.667341831,-1.1877,-0.4842,1
-1.402485334,-0.7216,-0.6734,1
-1.340820474,-1.1578,-0.6546,1
-1.366969121,-0.8819,-0.708,1
-1.224380169,-0.5825,-0.6449,1
-1.251574559,-0.5014,-0.6283,1
-1.517984567,-1.0327,-0.2233,1
-1.093751103,-1.1786,-0.279,1
-1.204535599,-0.7941,0.1385,1
-1.661920023,-0.759,-0.4234,1
-1.290882856,-0.7369,-0.8049,1
-1.281236206,-0.5375,-0.7505,1
-1.307691577,-0.9122,-0.925,1
-0.874027138,-0.5852,-0.8094,1
-0.791966315,-0.9095,-0.3078,1
-1.584357883,-0.6423,-0.6846,1
-1.710229611,-0.6274,-0.8592,1
-2.150725852,-1.0544,-0.3043,1
-1.476225034,-1.1549,-0.829,1
-1.573083703,-0.5356,-0.4293,1
-1.567895972,-0.3514,-0.2081,1
-1.29745888,-0.7304,-0.3161,1
-1.456957079,-0.2627,-0.3519,1
-1.365590492,-0.391,-0.7218,1
-1.321086822,-0.5061,-0.4547,1
-1.327818649,-0.9137,-0.4535,1
-1.381543262,-0.4403,-0.8411,1
-1.077872967,-0.4814,-0.5586,1
-1.601557312,-0.4243,-0.3171,1
-1.240319877,-0.9348,-0.5434,1
-1.832170175,-0.9673,-0.3309,1
-1.64919918,-0.7737,-0.5867,1
-1.407746183,-0.8244,-0.4296,1
-1.155630174,-0.584,-0.3172,1
-1.599443677,-0.5455,-0.1593,1
-1.194295189,-0.7644,-0.1753,1
-1.29972079,-0.5707,-0.3694,1
-1.686335702,-0.9489,-0.5251,1
-1.238741028,-0.7537,-0.7763,1
-1.221776396,-0.7601,-0.6585,1
-1.5589791,-1.0119,-0.2686,1
-1.087105626,-1.2004,-0.4479,1
-0.63818528,-0.5571,-0.6523,1
-1.689739603,-0.7082,-0.4127,1
-1.533731474,-0.7651,-0.0844,1
-1.502601262,-0.5015,-0.7359,1
-1.435590809,-0.7636,-0.1679,1
-1.540687352,-0.6464,-0.9207,1
-1.564843736,-0.8601,-0.3476,1
-1.172196937,-0.6978,-0.2881,1
-0.340998445,-0.9045,0.2126,1
-1.402993222,-0.9947,-0.4896,1
-1.347485449,-0.4244,-0.7227,1
-2.012807158,-1.2388,-0.9487,1
-1.440711384,-1.273,-0.4733,1
-1.465544732,-1.3274,-0.517,1
-1.17165104,-0.6521,-0.6853,1
-0.909667954,-0.4876,-0.5874,1
-1.458836518,-0.9394,-0.7577,1
-0.990399585,-1.5304,-0.0658,1
-1.581277394,-0.8945,-0.6527,1
-0.954549156,-0.7963,-0.9627,1
-1.040256554,-0.8776,-0.4553,1
-0.946316945,-1.0217,-0.4521,1
-2.089982347,-1.1095,-0.8077,1
-1.358956209,-0.7881,-0.6995,1
-1.502131781,-0.8675,-0.2277,1
-1.174200843,-0.9743,-0.0674,1
-1.591520436,-0.4834,-0.205,1
-1.184034356,-0.9639,-0.147,1
-1.581048882,-0.8955,-0.6822,1
-1.342008436,-1.1564,-0.6498,1
-1.020531949,-0.6266,-0.4527,1
-1.057726354,-1.2796,-0.5093,1
-0.986098586,-1.1027,-0.2539,1
-1.483875659,-0.7335,-0.2416,1
-1.21780142,-0.9905,-0.4164,1
-1.543909207,-0.6292,-0.8627,1
-1.485811759,-0.9965,-0.8518,1
-1.509155367,-0.5923,-0.8641,1
-1.296144864,-0.4585,-0.7733,1
-1.616638962,-0.8418,-0.6366,1
-1.479882728,-0.266,-0.961,1
-1.200994513,-1.0276,-0.1351,1
-1.166535673,-0.8146,-1.0776,1
-1.342660576,-0.7032,-0.838,1
-1.176126882,-0.0796,-0.7178,1
-1.569457698,-0.3716,-0.9039,1
-1.750628282,-1.2687,-0.3354,1
-1.72639889,0.0391,-0.495,1
-1.11979704,-0.8728,-0.6476,1
-1.325377415,-0.9359,-0.56,1
-1.311536603,-1.2989,-0.9221,1
-1.044800333,-0.1982,-0.3694,1
-1.779845892,-0.6098,-0.6338,1
-1.194224614,-1.0411,-0.4499,1
-1.419877031,-1.2407,-1.0709,1
-1.152078921,-0.1276,-0.7561,1
-1.676213034,-1.0784,-0.3873,1
-1.504025817,-0.8177,-0.7811,1
-1.313419721,-1.1172,-1.119,1
-1.589603999,-1.132,-0.5613,1
-1.603955386,-0.3212,-0.4991,1
-1.489186311,-0.8749,-0.7186,1
-1.290101433,-0.5957,-0.4776,1
