x.1,x.2,x.3,x.4,x.5,class
-0.775053894,-0.154,-0.1449,-0.211,-0.1621,1
-0.630403776,-0.4434,-0.2672,-0.0993,-0.0341,1
-0.479985048,-0.3788,0.0072,-0.4072,-0.204,1
-0.561859016,-0.324,-0.2022,-0.345,0.1445,1
-0.620744737,-0.4125,-0.2072,-0.0644,-0.1788,1
-0.661720938,-0.3679,-0.2781,-0.0801,-0.0495,1
-0.537245552,-0.2271,-0.0068,-0.0586,-0.2364,1
-0.32210672,-0.251,-0.1171,-0.0583,-0.1141,1
-0.462512692,-0.2886,-0.0524,-0.2561,-0.1644,1
-0.599388912,-0.2689,-0.2591,-0.1205,-0.0948,1
-0.594427292,-0.2659,-0.0882,-0.3215,-0.0963,1
-0.63512739,-0.2237,-0.0059,-0.2199,-0.1281,1
-0.517607925,-0.2409,-0.102,-0.1416,-0.0236,1
-0.569541325,-0.3639,-0.0804,-0.2505,-0.199,1
-0.688317454,-0.471,-0.2069,-0.2295,-0.0525,1
-0.53436145,-0.2349,-0.168,-0.1991,-0.1486,1
-0.642980303,-0.2938,-0.2495,-0.129,-0.1364,1
-0.52164124,-0.4082,-0.3631,0.0227,-0.1875,1
-0.513628523,-0.3116,-0.1814,-0.088,-0.0623,1
-0.478534348,-0.1731,-0.1047,-0.1564,-0.2371,1
-0.388799985,-0.1872,-0.363,-0.2592,-0.2538,1
-0.601900858,-0.1432,-0.3957,-0.1865,-0.048,1
-0.424300512,-0.3303,-0.1338,-0.3128,-0.165,1
-0.460653437,-0.1906,-0.0613,-0.2611,-0.1143,1
-0.47047421,-0.2725,-0.0595,-0.1864,-0.0797,1
-0.508962266,-0.3631,-0.3729,-0.1359,-0.1531,1
-0.440260033,-0.2749,-0.0684,-0.3139,-0.1919,1
-0.37470357,-0.2932,0.0173,-0.0658,-0.033,1
-0.48079847,-0.1771,-0.0245,-0.2344,-0.0128,1
-0.501887859,-0.3695,-0.3142,-0.3323,-0.1541,1
-0.33733378,-0.2477,-0.0954,-0.0411,-0.2905,1
-0.550950822,-0.3913,-0.0781,-0.0856,-0.2746,1
-0.383600666,-0.4329,-0.0174,-0.0585,-0.2536,1
-0.555945087,-0.3363,-0.2662,-0.2335,-0.024,1
-0.349060443,-0.4073,-0.2805,-0.2555,-0.0741,1
-0.421250957,-0.4662,-0.1239,-0.1933,-0.0976,1
-0.528433272,-0.2886,-0.1325,-0.0753,-0.0818,1
-0.402908026,-0.2676,-0.2296,-0.125,-0.2526,1
-0.480157279,-0.2402,-0.2786,-0.2399,-0.3131,1
-0.411984543,-0.1216,-0.1175,-0.1244,-0.1746,1
-0.519101409,-0.331,-0.2632,-0.1922,-0.1821,1
-0.396180507,-0.4149,-0.1146,-0.2184,-0.2373,1
-0.371492312,-0.102,-0.3053,-0.1267,-0.1677,1
-0.428058103,-0.3346,-0.2327,-0.0865,-0.1565,1
-0.526797786,-0.2584,-0.3257,-0.256,-0.1143,1
-0.423324043,-0.1824,-0.1114,-0.2643,-0.1747,1
-0.406881265,-0.0224,-0.1634,-0.2879,-0.2859,1
-0.488361503,-0.2515,-0.2832,-0.2672,-0.2813,1
-0.381619123,-0.2093,-0.037,-0.138,-0.175,1
-0.387785115,-0.2077,-0.1854,-0.2091,0.0197,1
-0.52703215,-0.2011,-0.1323,-0.2093,-0.0375,1
-0.419778981,-0.2879,-0.2622,-0.1012,-0.1688,1
-0.378571243,-0.344,-0.0551,-0.1032,-0.0274,1
-0.514196747,-0.4798,-0.3141,0.066,-0.1802,1
-0.366035576,-0.1396,-0.3728,-0.171,-0.3016,1
-0.454272432,-0.1989,-0.2796,-0.3207,-0.1903,1
-0.39892987,-0.3451,-0.2884,-0.2744,-0.0244,1
-0.652656517,-0.194,-0.2387,-0.35,-0.1083,1
-0.53955396,-0.1754,-0.2548,-0.157,-0.0618,1
-0.724522343,-0.3088,-0.1975,-0.233,-0.129,1
-0.393751939,-0.3571,-0.1187,-0.2339,-0.0275,1
-0.536100112,-0.5135,-0.3546,-0.1965,-0.1477,1
-0.313036735,-0.4086,-0.3716,-0.1317,-0.1311,1
