x.1,x.2,x.3,x.4,x.5,x.6,x.7,x.8,x.9,x.10,x.11,x.12,x.13,x.14,x.15,x.16,x.17,x.18,x.19,x.20,class
-0.080402465,-0.4678,0.2908,-0.9639,-1.7075,-0.7705,0.1356,0.7171,-2.1882,-1.6166,-0.2103,-2.0685,0.0518,-0.8141,-0.484,-1.4774,0.7863,1.0093,-1.6127,-0.5169,2
0.868105956,-0.0274,-0.594,-1.8481,-0.7591,-0.0828,-0.7844,1.5828,-0.1168,0.4953,-0.4242,-0.4661,1.3451,-1.6373,-1.6326,-0.5891,0.9344,-1.3434,-1.2293,-0.2477,2
1.607905476,0.8212,-1.3066,-0.6328,-0.2853,1.9256,-0.5348,1.4889,-0.3793,1.103,-0.5841,1.9567,0.6617,0.8937,2.4199,1.6779,1.1367,-0.334,-0.5048,0.2896,1
0.16306612,0.4229,-0.9517,0.2554,-0.3936,-0.4485,0.169,0.4168,0.2235,1.0789,-0.5665,1.4839,0.1468,-0.8801,0.9444,0.2092,1.1885,-0.8131,1.4367,1.0531,1
1.148543062,1.7722,0.3935,0.921,0.6804,0.4162,-0.8657,1.3387,-0.8354,0.756,0.116,0.7236,-0.1204,0.144,0.1635,0.9817,1.1607,0.303,0.5355,0.0162,1
1.74146324,0.2719,-0.7359,0.7005,0.5302,-0.0822,-0.6989,-1.6163,1.4323,-0.3891,1.0432,-0.6288,0.4969,1.7256,0.529,0.9815,0.9214,-0.334,-0.9621,-1.1968,2
-0.043692615,0.3198,-0.6783,0.0476,0.7157,0.5733,1.4584,0.8252,1.4416,0.8141,0.3673,0.0173,1.331,-1.2831,-1.3478,0.6975,0.8695,0.7958,1.157,1.5533,1
0.122684778,0.881,0.272,0.6468,-0.9652,-0.5892,0.5233,-1.4806,-0.7441,-2.3091,-1.4227,-0.8365,-0.0825,0.7252,-1.2222,-0.1092,-2.5191,-0.0679,1.5772,-0.1636,2
-2.246865603,0.5463,0.5798,0.0045,-2.2565,-0.6534,-1.8926,-1.1569,0.4104,1.0838,-0.6242,-0.9335,-1.2738,-1.4172,-1.6716,0.0476,-0.714,-0.396,1.1714,-0.1378,2
-0.969575231,-1.2712,0.3499,0.3571,0.3663,-1.2059,-2.3136,-0.8911,-0.4441,0.1732,-1.5256,-0.9369,-1.662,-2.0648,-0.9223,-0.7455,0.643,1.6204,-1.9301,-0.4119,2
-1.907725016,0.7357,0.2041,0.9304,0.9196,-0.3094,0.1928,0.1874,0.0526,1.2771,1.1583,1.0081,1.9425,2.0511,0.3119,1.0828,0.1314,1.7284,0.6322,0.9628,1
0.354518414,1.7985,0.8174,0.5031,-1.5122,0.5766,0.4178,1.2136,0.9089,1.9261,0.9683,0.285,2.0928,-0.9194,0.2487,-0.151,-0.1419,0.4843,-0.5509,1.1907,1
0.942833874,0.4698,-0.6978,-0.5446,0.0033,-1.4906,-0.8357,-0.7375,0.2539,-0.229,1.0342,-1.4534,1.3718,-0.5524,0.8137,0.3659,0.1975,1.1672,1.2021,0.1327,2
1.05227675,0.1533,0.0172,-0.4179,0.4019,1.6926,0.8372,-0.4698,1.5481,-0.4692,1.5752,0.0105,1.3573,0.7359,1.1192,0.3241,-1.2376,0.3167,0.6293,0.4538,1
