0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,Index,Class,MDS.x,MDS.y,MDS.jaccard,Isomap.x,Isomap.y,Isomap.jaccard,Spectral.x,Spectral.y,Spectral.jaccard,KNN.1,KNN.2,KNN.3,KNN.4,KNN.5,KNN.6,KNN.7,KNN.8,KNN.9,KNN.10,KNN.11,KNN.12,KNN.13,KNN.14,KNN.15,KNN.16,KNN.17,KNN.18,KNN.19,KNN.20,KNN.21,KNN.22,KNN.23,KNN.24,KNN.25,KNN.26,KNN.27,KNN.28,KNN.29,KNN.30,KNN.31,KNN.32,KNN.33,KNN.34,KNN.35,KNN.36,KNN.37,KNN.38,KNN.39,KNN.40,KNN.41,KNN.42,KNN.43,KNN.44,KNN.45,KNN.46,KNN.47,KNN.48,KNN.49,KNN.50,KNN.51,KNN.52,KNN.53,KNN.54,KNN.55,KNN.56,KNN.57,KNN.58,KNN.59,KNN.60,KNN.61,KNN.62,KNN.63,KNN.64,KNN.65,KNN.66,KNN.67,KNN.68,KNN.69,KNN.70,KNN.71,KNN.72,KNN.73,KNN.74,KNN.75,KNN.76,KNN.77,KNN.78,KNN.79,KNN.80,KNN.81,KNN.82,KNN.83,KNN.84,KNN.85,KNN.86,KNN.87,KNN.88,KNN.89,KNN.90,KNN.91,KNN.92,KNN.93,KNN.94,KNN.95,KNN.96,KNN.97,KNN.98,KNN.99,KNN.100,TSNE.x,TSNE.y,TSNE.jaccard
0.00267805,0.00104304,0.00104304,0.00104304,0.0041792,0.00104304,0.00104304,0.002731,0.0027465,0.00104304,0.00104304,0.00104304,0.00277446,0.00104304,0.00424857,0.00104304,0.00104304,0.00104304,0.00104304,0.00104304,0.00104304,0.00104304,0.0051967,0.00104304,0.00104304,0.00275197,0.00104304,0.00104304,0.00104304,0.00104304,0.01026846,0.00420863,0.00104304,0.00104304,0.00104304,0.12495861,0.00104304,0.00104304,0.00104304,0.00104304,0.00104304,0.00104304,0.00104304,0.00104304,0.00278866,0.00104304,0.00577062,0.00104304,0.00104304,0.00104304,0.00104304,0.00104304,0.36250267,0.00104304,0.00104304,0.00104304,0.00104304,0.00104304,0.00104304,0.00104304,0.00567061,0.00104304,0.00104304,0.00104304,0.00104304,0.00104304,0.00104304,0.00104304,0.00104304,0.00543819,0.00104304,0.00104304,0.0011379,0.00104304,0.00104304,0.00281433,0.00104304,0.00104304,0.04534538,0.00104304,0.00104304,0.00104304,0.00104304,0.00104304,0.27514693,0.00104304,0.00104304,0.00104304,0.00265725,0.00453061,0.00104304,0.00104304,0.00104304,0.00271421,0.00104304,0.00104304,0.00104304,0.02280519,0.01570758,0.00104304,774144,2,-0.1508,0.4010,0.3931034482758621,-0.3980,0.1911,0.2392638036809816,-0.0780,0.1910,0.27044025157232704,0,472,59,597,147,815,561,319,256,550,471,138,203,272,447,263,1000,339,357,519,866,711,100,839,777,851,610,3,9,598,398,539,363,405,483,162,928,353,373,157,92,970,878,86,964,977,686,49,969,534,199,755,893,758,618,4,228,381,208,101,844,499,344,399,54,876,756,581,728,473,790,647,12,975,910,184,149,439,986,959,891,786,670,1003,42,230,512,117,21,532,792,627,591,74,619,408,366,283,173,417,-0.3778,0.5883,0.6422764227642277
0.00066412,0.00066412,0.01120802,0.00066412,0.00066412,0.00066412,0.00066412,0.00305816,0.00066412,0.00066412,0.00699861,0.00066412,0.00579302,0.00066412,0.00066412,0.01637121,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00256718,0.00066412,0.00066412,0.00312097,0.00066412,0.00066412,0.00307557,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.0053854,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00524946,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.05832548,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00294777,0.06332196,0.00066412,0.03017856,0.00066412,0.00066412,0.00066412,0.00066412,0.0101214,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.41642418,0.00066412,0.00514197,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.00066412,0.29625309,106499,5,-0.3932,-0.1406,0.15428571428571428,-0.0933,0.1625,0.22424242424242424,-0.0856,0.2215,0.16091954022988506,1,115,98,287,445,342,574,187,496,907,749,949,123,316,245,39,451,849,821,859,418,266,665,389,938,354,958,361,664,190,97,754,401,576,521,242,731,813,898,811,981,286,304,154,559,353,862,127,776,22,195,627,765,637,846,539,2,752,90,181,701,687,76,680,183,803,512,283,464,431,112,429,532,52,585,310,105,759,268,614,297,223,943,505,381,460,674,81,484,87,592,500,649,728,94,143,259,149,258,581,-0.1409,-0.1597,0.4962962962962963
0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.00859084,0.24493454,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.03003344,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.25336848,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.01007218,0.0982867,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.02684764,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.01852682,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.21738777,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,0.00918799,0.0009196,0.0009196,0.0009196,0.0009196,0.0009196,2197508,5,0.0282,-0.0755,0.36486486486486486,-0.1075,0.0630,0.14772727272727273,-0.0651,0.3169,0.2546583850931677,2,665,949,532,223,313,65,576,98,87,1003,516,431,271,418,275,187,859,494,821,236,958,728,574,484,627,797,988,982,776,397,976,749,498,250,282,521,963,143,871,385,666,62,531,267,802,865,342,94,381,444,765,679,361,981,26,496,39,435,849,559,286,607,97,554,353,149,127,637,619,907,401,336,1,862,873,473,123,316,283,154,245,731,994,512,910,354,786,253,660,103,505,813,754,22,451,76,834,978,539,0.2168,0.0158,0.2546583850931677
0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.0098898,0.00099136,0.05685847,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00979789,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00838649,0.00099136,0.00099136,0.00099136,0.00099136,0.011089299999999998,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.56783812,0.00099136,0.00099136,0.00099136,0.13260454,0.00099136,0.00980436,0.01958616,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.05877891,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00099136,0.00945857,0.00099136,0.00929784,0.00099136,0.01036122,1058821,2,0.6198,0.0615,0.01,-0.3799,0.3173,0.24691358024691357,-0.0820,0.1147,0.020202020202020204,3,100,357,398,866,851,447,272,256,597,203,339,9,319,815,598,405,539,561,363,147,471,472,0,162,711,839,59,353,373,86,550,777,138,263,1000,101,519,756,230,12,610,381,408,512,228,910,728,627,149,194,4,473,947,173,283,457,786,1003,32,483,511,532,658,792,186,619,229,992,74,378,928,700,130,417,370,562,26,666,821,787,581,698,273,216,87,505,282,843,198,549,651,57,1002,837,785,665,771,859,765,-0.4302,0.5379,0.27848101265822783
0.00091598,0.00091598,0.00604537,0.00091598,0.02257239,0.00091598,0.00091598,0.01027706,0.00091598,0.00091598,0.00091598,0.0059601,0.00091598,0.00091598,0.00091598,0.00091598,0.00091598,0.00091598,0.00091598,0.00091598,0.00091598,0.00091598,0.00091598,0.00091598,0.00091598,0.00091598,0.00091598,0.04955095,0.00091598,0.00091598,0.08853596,0.00091598,0.00091598,0.00091598,0.00091598,0.20385084,0.00091598,0.00091598,0.00091598,0.00091598,0.00576949,0.00091598,0.00091598,0.00091598,0.00091598,0.00091598,0.00091598,0.00091598,0.00091598,0.00624202,0.016643599999999998,0.00091598,0.00602205,0.0060622,0.00091598,0.00091598,0.00091598,0.00091598,0.00628071,0.00091598,0.00091598,0.00600777,0.19362153,0.00091598,0.00091598,0.00091598,0.00091598,0.00091598,0.00596292,0.01085481,0.00091598,0.00091598,0.00091598,0.00091598,0.12533079,0.00091598,0.00091598,0.00091598,0.00091598,0.00091598,0.00091598,0.00091598,0.01019088,0.00091598,0.01088648,0.01057279,0.00091598,0.00632198,0.00091598,0.00636167,0.00639973,0.00091598,0.00091598,0.00091598,0.01623199,0.08966133,0.00091598,0.00091598,0.00091598,0.00091598,2447366,7,0.0777,0.0394,0.32894736842105265,0.4970,-0.4126,0.3466666666666667,-0.0503,0.6903,0.20958083832335328,4,71,660,352,446,641,530,125,427,413,953,74,952,950,507,378,270,616,860,879,426,295,404,280,785,506,983,182,916,160,381,638,688,728,748,514,470,417,433,874,910,570,810,149,786,89,858,935,338,619,449,392,612,859,902,69,512,473,26,136,1003,385,261,329,666,824,792,532,665,627,253,308,81,835,847,283,574,852,1007,298,821,554,359,173,408,988,700,789,120,336,915,823,549,87,778,452,524,198,771,335,0.5243,0.1976,0.4852941176470588
0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00296821,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.10760514,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.79146486,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00724259,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.01523638,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,0.00079456,1789959,0,-0.3002,-1.0000,0.01,-0.1742,-0.0532,0.24691358024691357,-0.0577,0.0957,0.15428571428571428,5,320,676,159,724,53,252,440,145,738,745,929,746,853,750,892,466,707,461,708,288,407,387,978,870,966,880,475,90,789,552,504,754,95,731,264,367,469,939,666,284,183,806,298,554,455,381,248,728,149,651,910,72,786,473,882,249,4,512,942,1003,532,792,627,417,619,283,173,74,821,408,700,765,378,505,26,87,32,665,282,198,549,855,859,785,771,843,895,313,66,521,105,576,374,286,958,336,470,559,992,0.6396,-0.2077,0.27848101265822783
0.00076718,0.00076718,0.00583459,0.00076718,0.21261241,0.00076718,0.00523245,0.00076718,0.00076718,0.00076718,0.04831989,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.01605118,0.00076718,0.05376659999999999,0.00076718,0.00076718,0.00610584,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00615463,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.01583594,0.00076718,0.00076718,0.00076718,0.00076718,0.00613388,0.00945501,0.00076718,0.15920476,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.02680641,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.33630999,0.00076718,0.00076718,0.0269659,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,0.00076718,1441800,5,-0.2070,0.0041,0.4027777777777778,-0.2243,0.0101,0.1952662721893491,-0.0737,0.1709,0.046632124352331605,6,649,786,759,544,38,114,958,524,910,619,41,512,97,821,26,473,133,771,381,283,895,744,1003,382,284,396,374,431,149,982,286,728,351,494,44,310,4,225,112,939,981,943,545,775,436,195,576,532,429,87,966,627,930,140,229,375,173,792,700,408,336,197,538,353,942,797,585,116,859,74,736,32,378,765,637,417,574,693,282,665,489,992,505,651,65,521,896,674,666,806,785,76,313,549,198,103,843,143,504,-0.0408,0.1315,0.3466666666666667
0.00617037,0.0010537,0.0010537,0.65596749,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.02040273,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.04302576,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.00853718,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.06662455,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.00851081,0.00432025,0.00573389,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.02434526,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.02064457,0.0010537,0.0010537,0.03779776,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.0010537,0.00624771,0.0010537,0.0010537,3377161,7,0.6246,-0.5278,0.2625,-0.9118,-0.5162,0.3116883116883117,-0.1765,-0.0425,0.24691358024691357,7,80,99,450,739,121,384,179,671,697,294,912,872,972,226,337,14,856,251,105,653,643,289,377,818,715,93,210,955,631,588,560,293,424,122,540,931,381,349,683,46,971,170,600,240,728,149,558,956,910,473,1001,4,786,881,548,634,1003,909,792,512,601,532,627,742,619,29,74,408,173,698,283,417,378,249,700,198,26,821,87,666,222,651,505,282,595,430,32,785,549,665,843,771,193,313,765,286,721,859,895,-0.6644,0.1240,0.3202614379084967
0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.02233815,0.00097702,0.72523768,0.00545534,0.00097702,0.00097702,0.00479715,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00329725,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00725036,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00321499,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00686792,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.01839511,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.1116229,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,0.00272129,0.00282408,0.00097702,0.00097702,0.00097702,0.00097702,0.00097702,177321,9,0.5950,0.6152,0.9238095238095239,0.6315,-0.6062,0.9238095238095239,0.9535,-0.8154,1.0,8,314,388,495,536,48,635,654,737,807,276,793,334,557,25,957,633,221,903,163,124,761,564,655,432,155,751,64,937,918,202,578,515,126,85,987,45,944,167,723,490,565,848,265,356,414,390,16,205,632,662,323,257,555,108,485,770,409,82,428,768,798,307,28,33,111,300,10,365,118,962,726,474,743,603,569,968,605,628,422,454,579,135,215,176,689,372,945,47,620,106,980,376,510,462,217,835,281,925,470,0.1491,-0.9363,0.9803921568627451
0.00761005,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.0789674,0.00097256,0.11697743,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.01311201,0.00097256,0.00097256,0.00097256,0.00097256,0.04187466,0.00097256,0.00097256,0.10591474,0.01676043,0.00097256,0.00097256,0.00097256,0.00097256,0.00751174,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.43958563,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.01518457,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.02062103,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.05029545,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,0.00097256,1583117,2,-0.1856,0.3369,0.3931034482758621,-0.2319,0.3010,0.16091954022988506,-0.0745,0.1751,0.1348314606741573,9,162,598,373,100,357,272,405,447,866,256,3,398,711,471,363,203,851,597,539,339,86,815,319,147,561,353,0,839,472,101,756,59,550,12,777,263,1000,228,138,26,519,336,149,381,910,610,253,786,230,728,4,700,173,1003,544,32,797,992,112,619,637,397,436,88,859,63,473,934,55,298,512,627,65,532,593,792,982,291,38,143,180,759,802,283,74,417,408,103,505,981,110,396,6,378,338,521,204,821,429,-0.3907,0.5110,0.27848101265822783
